0.924826	0.905442	0.917930
0.907657	0.908564	0.916592
0.910905	0.905442	0.912578
0.909049	0.905442	0.911686
0.909281	0.904996	0.911686
0.906265	0.901873	0.913916
0.908817	0.906334	0.911240
0.907425	0.900535	0.912578
0.908817	0.908118	0.910348
0.907193	0.904103	0.914362
0.908353	0.905442	0.913470
0.907889	0.900981	0.914362
0.907193	0.898751	0.909456
0.907657	0.902319	0.912132
0.906265	0.906334	0.912578
0.905336	0.896967	0.914362
0.907889	0.901873	0.911240
0.910209	0.897859	0.913470
0.908121	0.896967	0.912132
0.906497	0.898305	0.909010
0.907193	0.900981	0.911686
0.906961	0.900535	0.913470
0.907889	0.898305	0.917038
0.906497	0.896967	0.909010
0.907889	0.903657	0.915700
0.906497	0.894291	0.913916
0.908353	0.891615	0.913024
0.907193	0.890277	0.911240
0.909049	0.893399	0.909902
0.906729	0.897859	0.910348
